date,campaign,channel,spend,revenue,impressions,clicks,conversions
2023-01-15,New Year Promo,Facebook,15000,45000,500000,2500,200
2023-01-20,Product Launch,Google Ads,25000,60000,800000,4000,300
2023-02-10,Valentine Special,Instagram,8000,20000,300000,1500,100
2023-02-15,Winter Clearance,Email,2000,12000,50000,800,150
2023-03-05,Spring Sale,Facebook,18000,50000,600000,3000,220
2023-03-10,Q1 Boost,Google Ads,35000,85000,900000,5000,350
2023-04-12,Easter Offer,Instagram,9500,25000,350000,1800,120
2023-04-20,Flash Deal,TikTok,12000,28000,1000000,6000,180
2023-05-01,May Markdown,Facebook,55000,90000,800000,3800,150
2023-05-15,Summer Prep,Google Ads,40000,110000,1200000,6000,450
2023-06-10,Fathers Day,Email,3000,15000,60000,900,160
2023-06-25,Mid-Year Sale,Referral,1000,15000,10000,500,100
2023-07-04,July 4th Bash,Facebook,22000,65000,700000,3500,280
2023-07-20,Beach Vibes,Instagram,11000,29000,400000,2100,140
2023-08-15,Back to School,Google Ads,60000,140000,1500000,8000,600
2023-08-25,Tech Gadgets,YouTube,45000,100000,900000,4000,300
2023-09-10,Fall Fashion,Pinterest,7000,18000,250000,1200,90
2023-09-20,Customer Loyalty,Email,2500,13000,55000,850,145
2023-10-05,Halloween Spook,Facebook,28000,75000,850000,4200,310
2023-10-25,Early Bird Black Friday,Google Ads,75000,180000,1800000,9500,750
2023-11-15,Black Friday Preview,TikTok,15000,35000,1200000,7500,250
2023-11-24,Black Friday Main,All Channels,100000,300000,2000000,15000,1200
2023-12-10,Holiday Gift Guide,Pinterest,8500,22000,280000,1400,110
2023-12-20,Last Minute Gifts,Instagram,14000,40000,500000,2600,190
